feature,importance,std
theta_abs_ch8,0.0,0.0
theta_abs_ch9,0.0,0.0
theta_abs_ch10,0.0,0.0
theta_abs_ch11,0.0,0.0
paf_ch16,0.0,0.0
hjorth_mobility_ch10,-1.6266370493774514e-05,6.08631853140331e-05
beta_rel_ch14,-3.253274098754903e-05,8.294254056308616e-05
beta_abs_ch4,-5.004419719953912e-05,0.0002989195229470997
hjorth_mobility_ch16,-9.762534488094351e-05,0.00017373827851186577
beta_rel_ch16,-0.0001138645934564216,0.00012172637062806618
hjorth_mobility_ch13,-0.00016267726589689336,0.00014552116959839166
beta_abs_ch10,-0.0004049741393949313,0.0003541518457149
theta_alpha_ch12,-0.0005477147105503067,0.0004951471177356535
hjorth_activity_ch15,-0.0006673934264399402,0.0005188813367328039
hjorth_activity_ch14,-0.0006855420989842746,0.00032025468950719777
beta_rel_ch7,-0.0010737635341096544,0.00040707952882136416
beta_rel_ch3,-0.0011195014936046688,0.0005562215235429239
alpha_abs_ch10,-0.0011811639588139725,0.00035978872125886507
hjorth_activity_ch7,-0.0012205171320219513,0.0005839251628079775
hjorth_activity_ch9,-0.00268530962500384,0.0007665940033298218
hjorth_activity_ch3,-0.003098298518161909,0.0008068838058878354
hjorth_complexity_ch6,-0.0035716634644685032,0.0008991814709680987
hjorth_activity_ch10,-0.0038680574229191505,0.0005659381550955911
beta_abs_ch3,-0.003897477328102424,0.0007833979983092893
beta_abs_ch2,-0.005514517099731667,0.0012434312264170892
hjorth_complexity_ch7,-0.017911016306964588,0.0014888393423912918
hjorth_mobility_ch7,-0.019164116079116656,0.0024657525401038053
hjorth_mobility_ch3,-0.027916507214717782,0.0026732614124644746
hjorth_complexity_ch3,-0.030729568863670155,0.0030038412211413645
beta_abs_ch6,-0.03603239421417164,0.002659885785980572
beta_abs_ch7,-0.050645106205641124,0.0029621036851583196
